"","RPKM.input","RPKM.IP"
"mod_1",0.101389103396898,0.0360730086326892
"mod_1.1",0.101389103396898,0.0360730086326892
"mod_2",0.0330695641903862,0.0492736386033472
"mod_2.1",0.0330695641903862,0.0492736386033472
"mod_3",0.00205401019816063,0.0024378261977668
"mod_3.1",0.00205401019816063,0.0024378261977668
"mod_4",0.27991023975434,0.0288845467674794
"mod_5",0.13605763552616,0.0705122759323762
"mod_5.1",0.13605763552616,0.0705122759323762
"mod_6",0.0448801228298098,0.0157165916234814
"mod_7",0.0595328972068509,0.019753659434479
"mod_8",0.192643334251932,0.213802282445558
"mod_9",0.0755875752923113,0.0468665930393906
"mod_10",0.0622022755009645,0.02930931951406
"mod_11",0.297626077713476,0.504913204768782
"mod_12",0.0127554033305775,0.0129980460453657
"mod_12.1",0.0127554033305775,0.0129980460453657
"mod_13",0.0236211172788473,0.0208138645824484
"mod_14",0.00314948230384631,0.00127431823974174
"mod_15",0.0213114969226933,0.0177838189901736
"mod_16",0.399196882012519,0.165661371166426
"mod_17",0.19487421755049,0.0473621612437346
"mod_17.1",0.19487421755049,0.0473621612437346
"mod_18",0.241880240935396,0.0416277291648968
"mod_18.1",0.241880240935396,0.0416277291648968
"mod_19",0.0276185371260368,0.00849545493161159
"mod_19.1",0.0276185371260368,0.00849545493161159
"mod_20",0.144088815400968,0.0399286381785745
"mod_21",0.0578022634588263,0.0336320068763212
"mod_22",0.0288904434410517,0.0797919267038288
"mod_22.1",0.0288904434410517,0.0797919267038288
"mod_23",0.00661391283807724,0.00781581853708266
"mod_23.1",0.00661391283807724,0.00781581853708266
"mod_24",0.0134977813021985,0.00679636394528927
"mod_25",0.166922562103854,0.0295925013451137
"mod_26",0.323609306720208,0.280350012743182
"mod_27",0.038974843510098,0.0252739784215445
"mod_28",0.0486595015944254,0.0287995922181633
"mod_29",0.0759250198248663,0.324283651103802
"mod_30",0.00634817526869021,0.00645123608869255
"mod_30.1",0.00634817526869021,0.00645123608869255
"mod_30.2",0.00634817526869021,0.00645123608869255
"mod_31",0.00480710456902857,0.00160966514493693
"mod_32",0.0342506200543286,0.0169909098632232
"mod_32.1",0.0342506200543286,0.0169909098632232
"mod_33",0.0157474115192315,0.0134511369750517
"mod_33.1",0.0157474115192315,0.0134511369750517
"mod_34",0.0566906814692335,0.0526718205759918
"mod_34.1",0.0566906814692335,0.0526718205759918
"mod_35",0.0620054328569741,0.0707246623056665
"mod_36",0.250383843155781,0.84580749299125
"mod_37",0.883429786228889,5.23872228357829
"mod_38",0.0433053816778867,0.023220910146405
"mod_39",0.142243954416416,0.0510037348996389
"mod_40",0.633045943073107,0.104494095658823
"mod_40.1",0.633045943073107,0.104494095658823
"mod_41",0.0872591861830359,0.0125932626045066
"mod_42",0.0288340535059032,0.00413054877709391
"mod_43",0.04795086807606,0.0149520006796364
"mod_43.1",0.04795086807606,0.0149520006796364
