"","IP1.bam","IP2.bam","IP3.bam","IP4.bam","Input1.bam","Input2.bam","Input3.bam"
"mod_1",175,144,110,123,190,77,12
"mod_2",69,29,73,36,65,7,7
"mod_3",931,608,928,1099,334,20,24
"mod_4",39,15,43,56,15,0,12
"mod_5",18,43,18,19,16,0,4
"mod_6",10,18,5,3,13,0,3
"mod_7",294,222,279,147,195,4,4
"mod_8",156,81,118,35,163,0,6
"mod_9",98,62,50,13,157,5,3
"mod_10",115,73,51,6,245,2,9
"mod_11",41,47,36,6,72,0,4
"mod_12",45,64,40,25,17,1,3
"mod_13",38,24,23,9,56,0,5
"mod_14",239,159,191,84,188,1,19
"mod_15",813,381,821,427,133,7,19
"mod_16",15,16,10,5,3,0,4
"mod_17",10,26,13,7,17,0,3
"mod_18",99,50,42,18,209,0,3
"mod_19",191,104,244,121,129,0,8
"mod_20",35,22,49,13,30,0,3
"mod_21",135,78,94,32,95,0,8
"mod_22",1341,560,2707,736,193,14,18
"mod_23",36,55,20,21,12,7,1
"mod_24",71,67,60,45,40,0,3
"mod_25",35,25,31,17,56,0,2
"mod_26",23,21,23,13,28,0,1
"mod_27",18,25,31,21,18,0,2
"mod_28",31,31,25,37,17,4,3
"mod_29",162,70,163,271,74,22,9
"mod_30",1229,644,1540,1565,228,16,21
"mod_31",2518,899,4718,4198,337,12,25
"mod_32",51,61,34,18,50,0,5
"mod_33",124,99,61,45,160,0,5
"mod_34",66,19,25,26,233,0,4
"mod_35",197,125,90,80,521,1,14
"mod_36",98,78,55,21,308,2,4
"mod_37",56,38,33,14,174,0,3
"mod_38",132,90,94,36,196,3,4
"mod_39",132,175,81,27,131,7,6
"mod_40",13,10,8,6,14,1,4
"mod_41",231,151,118,72,291,5,14
"mod_42",764,479,834,188,346,2,19
"mod_43",156,62,98,15,86,0,10
