"","RPKM.input.Control","RPKM.IP.Control","RPKM.input.Treated","RPKM.IP.Treated"
"mod_1",6.26886463895983,8.57113470395301,0,6.41025641025641
"mod_2",14.8595309960529,35.3587876987075,17.8571428571429,26.2436993206224
"mod_3",4.64360343626654,3.2341748282916,0,2.90379136532983
"mod_4",13.2342697933596,10.7539170085597,8.92857142857143,9.31404777558624
"mod_5",10.4481077315997,74.0088911237329,44.6428571428571,89.9627438088977
"mod_6",8.5906663570931,5.08553992434545,2.97619047619048,3.88998465921543
"mod_7",2.08962154631994,1.95993280230392,4.46428571428571,5.25969756738987
"mod_8",25.0754585558393,2.23992320263305,62.5,2.02717510409818
"mod_9",3.25052240538658,0.308560849342308,0,0.219154065307911
"mod_10",3.71488274901323,2.61705312960698,0,1.26013587552049
"mod_11",1.50917111678663,0.239991771710684,4.46428571428571,0
"mod_12",7.6619456698398,1.34852519342194,2.97619047619048,0.0547885163269779
"mod_13",6.03668446714651,1.74851147960641,8.92857142857143,0.109577032653956
"mod_14",31.6925934525192,2.91989988914666,17.8571428571429,2.32851194389656
"mod_15",35.7557464592524,5.05125538552964,23.8095238095238,4.49265833881219
"mod_16",16.2526120269329,2.41705998651475,10.4166666666667,2.08196362042516
"mod_17",2.32180171813327,0.479983543421368,0,0
"mod_18",6.73322498258649,3.32560026513377,0,8.10870041639272
"mod_19",13.0020896215463,34.1359724809435,14.8809523809524,23.2303309226386
"mod_20",15.0917111678663,35.6559203684445,17.8571428571429,26.5724304185843
"mod_21",14.3951706524263,32.7874472875216,17.8571428571429,26.7367959675652
"mod_22",15.0917111678663,28.5361644743609,17.8571428571429,24.0521586675433
"mod_23",9.28720687253309,17.3479766408009,5.95238095238095,11.6151654613193
"mod_24",8.5906663570931,17.2336948447482,5.95238095238095,10.5741836511067
"mod_25",8.12630601346645,16.6508576848794,5.95238095238095,8.05391190006575
"mod_26",9.05502670071976,8.27400203421597,2.97619047619048,2.02717510409818
"mod_27",4.87578360807987,0.571408980263534,2.97619047619048,0.547885163269779
"mod_28",1.85744137450662,0.731403494737323,0,0.164365548980934
"mod_29",7.19758532621314,2.22849502302778,0,1.42450142450142
"mod_30",4.17924309263989,3.32560026513377,0,3.17773394696472
"mod_31",12.3055491061063,3.80558380855514,11.9047619047619,0.493096646942801
"mod_32",7.6619456698398,3.32560026513377,8.92857142857143,0.657462195923734
"mod_33",13.0020896215463,21.5649749151458,17.8571428571429,24.2165242165242
"mod_34",12.769909449733,21.4735494783036,17.8571428571429,22.4632916940609
"mod_35",13.0020896215463,22.0563866381724,17.8571428571429,22.5180802103879
"mod_36",10.2159275597864,24.570586151332,20.8333333333333,22.7372342756958
"mod_37",9.75156721615974,23.4163400111996,20.8333333333333,21.2579443348674
"mod_38",9.05502670071976,21.6449721723827,11.9047619047619,17.8610563225948
"mod_39",10.2159275597864,18.6279327565912,5.95238095238095,14.6285338593031
"mod_40",11.376828418853,7.56545489868919,8.92857142857143,6.24589086127548
"mod_41",12.5377292779197,7.10832771447836,0,4.60223537146614
"mod_42",13.2342697933596,11.5996022993497,2.97619047619048,7.88954635108481
"mod_43",12.073368934293,13.5309646526405,2.97619047619048,8.71137409598948
"mod_44",14.6273508242396,18.9822063243546,5.95238095238095,12.1082621082621
"mod_45",6.84931506849315,9.52538770099311,2.97619047619048,5.88976550515012
"mod_46",6.3849547248665,8.42256836908449,2.97619047619048,5.01314924391848
"mod_47",14.8595309960529,16.3422968355371,2.97619047619048,9.53320184089415
"mod_48",4.64360343626654,4.18271373552907,4.46428571428571,3.88998465921543
"mod_49",13.9308103087996,82.2486086191331,47.6190476190476,106.618452772299
"mod_50",8.35848618527978,66.7062843559649,44.6428571428571,83.2785448170063
"mod_51",8.35848618527978,4.74269453618733,8.92857142857143,4.27350427350427
"mod_52",8.12630601346645,4.98268630789801,5.95238095238095,4.32829278983125
"mod_53",7.42976549802647,5.63409254539844,0,1.69844400613631
"mod_54",1.39308103087996,1.08567706250071,0,0.273942581634889
"mod_55",0.928720687253309,1.19995885855342,5.95238095238095,0.219154065307911
"mod_56",5.1079637798932,0.628549878289887,2.97619047619048,0.438308130615823
"mod_57",4.64360343626654,0.788544392763677,2.97619047619048,0.821827744904668
"mod_58",14.8595309960529,2.44563043552792,0,0.493096646942801
"mod_59",21.5927559786394,1.80565237763277,0,0.547885163269779
"mod_60",10.9124680752264,11.4281796052707,0,6.79377602454525
"mod_61",11.1446482470397,12.0795858427711,0,6.95814157352619
"mod_62",15.0917111678663,10.6853479309281,0,6.46504492658339
"mod_63",39.9349895518923,3.65701747368662,17.8571428571429,1.69844400613631
"mod_64",0.232180171813327,0,0,0
"mod_65",0.696540515439981,0,0,0
"mod_66",0.696540515439981,0,0,0
"mod_67",1.16090085906664,0.628549878289887,0,0.739644970414201
"mod_68",1.62526120269329,2.26277956184359,0,4.98575498575499
"mod_69",0.928720687253309,1.1485320503297,0,2.65724304185843
"mod_70",4.87578360807987,4.19414191513434,8.92857142857143,8.93052816129739
"mod_71",4.87578360807987,4.29699553158177,8.92857142857143,8.93052816129739
"mod_72",15.7882516833062,12.2395803572449,5.95238095238095,16.8748630287092
"mod_73",21.5927559786394,23.0049255454099,14.8809523809524,39.8860398860399
"mod_74",26.0041792430926,21.6564003519879,44.6428571428571,36.9274600043831
"mod_75",26.4685395867193,21.6564003519879,44.6428571428571,37.037037037037
"mod_76",26.236359414906,20.8449996000137,44.6428571428571,35.6125356125356
"mod_77",23.450197353146,20.05645520725,41.6666666666667,34.0236686390533
"mod_78",39.006268864639,1.42852245065883,71.4285714285714,1.09577032653956
"mod_79",19.0387740886928,2.78847582368605,44.6428571428571,2.84900284900285
"mod_80",16.4847921987462,2.53705587237009,5.95238095238095,1.53407845715538
"mod_81",16.0204318551196,2.51419951315955,5.95238095238095,1.53407845715538
"mod_82",6.03668446714651,0.285704490131767,2.97619047619048,0.0547885163269779
